AuthorID,Author,Date,Content,Attachments,Reactions
"1463070403886059571","GGAIZ#7546","2026-02-16T19:21:32.3000000-05:00","GGAIZ Bot has started","",""
"1463070403886059571","GGAIZ#7546","2026-02-16T19:21:32.5620000-05:00","GGAIZ Bot started scanning","",""
"1463070403886059571","GGAIZ#7546","2026-02-16T23:41:47.3090000-05:00","GGAIZ Bot has started","",""
"1463070403886059571","GGAIZ#7546","2026-02-16T23:41:47.5080000-05:00","GGAIZ Bot started scanning","",""
"1463070403886059571","GGAIZ#7546","2026-02-16T23:52:04.9280000-05:00","GGAIZ Bot has started","",""
"1463070403886059571","GGAIZ#7546","2026-02-16T23:52:05.0550000-05:00","GGAIZ Bot started scanning","",""
"414338408320860183","generalgonzo","2026-02-16T23:57:59.1570000-05:00","!test_futures","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T00:04:53.7320000-05:00","GGAIZ Bot has started","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T00:04:54.0860000-05:00","GGAIZ Bot started scanning","",""
"414338408320860183","generalgonzo","2026-02-17T00:05:07.4360000-05:00","!test_futures","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T00:05:07.6900000-05:00","❌ Could not fetch NQ data","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T00:09:18.6150000-05:00","GGAIZ Bot has started","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T00:09:18.7810000-05:00","GGAIZ Bot started scanning","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T00:16:36.8910000-05:00","GGAIZ Bot has started","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T00:16:37.1260000-05:00","GGAIZ Bot started scanning","",""
"414338408320860183","generalgonzo","2026-02-17T00:16:59.8850000-05:00","!test_futures","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T00:17:00.1250000-05:00","❌ Could not fetch NQ data","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T04:36:57.2520000-05:00","GGAIZ Bot has started","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T04:36:57.4060000-05:00","GGAIZ Bot started scanning","",""
"1463070403886059571","GGAIZ#7546","2026-02-17T09:01:57.1910000-05:00","C8 scan started: Monitoring for TTM Squeeze + VP + HMA confluences.","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T08:43:44.0430000-05:00","GGAIZ Bot has started","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T08:43:44.2050000-05:00","GGAIZ Bot started scanning","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T09:31:00.7120000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T09:31:02.0940000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T09:31:44.9060000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T09:35:44.7390000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T11:35:44.7160000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T11:41:44.8140000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T12:07:00.4190000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T12:09:00.2070000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T12:11:44.5960000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T13:37:44.8390000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T13:44:59.8080000-05:00","","",""
"1463070403886059571","GGAIZ#7546","2026-02-18T14:43:44.4190000-05:00","","",""
